DATA,HORA,LINHA,EMPRESA,PREFIXO,TIPO DE ACIDENTE,SUB TIPO DE ACIDENTE,FERIDOS,MORTOS,LOCAL,LOCAL AUXILIAR 1,LOCAL AUXILIAR 2,Ano
"14/01/202
0",14:41,500,11,GE726,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA MARECHAL FLORIANO
PEIXOTO, HAUER, CURITIBA","R. DR. JÚLIO CÉSAR RIBEIRO DE
SOUZA, 698 - HAUER, CURITIBA -
PR, 81610-120, BRASIL","R. FREI HENRIQUE DE COIMBRA, 602
- HAUER, CURITIBA - PR,
81610-130, BRASIL",2020
"16/01/202
0",16:30,332,5,DA009,ATROPELAMENTO,PEDESTRE,1,0,"RUA JOÃO TOBIAS DE PAIVA NETTO,
CAJURU, CURITIBA","RUA VICTÓRIO CELLI, 231 -
CAJURU, CURITIBA - PR,
82980-020, BRASIL","R. PADRE KAROL DWORACZEK, 355 -
CAJURU, CURITIBA - PR,
82980-030, BRASIL",2020
"16/01/202
0",18:14,200,7,HE720,ATROPELAMENTO,PEDESTRE,0,1,"AVENIDA JOÃO GUALBERTO, ALTO DA
GLÓRIA, CURITIBA","R. AUGUSTO SEVERO, 719 - ALTO DA
GLÓRIA, CURITIBA - PR,
80030-240, BRASIL","R. MAUÁ, 893 - ALTO DA GLÓRIA,
CURITIBA - PR, 80030-200, BRASIL",2020
"21/01/202
0",15:52,304,9,LL312,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA PRESIDENTE AFFONSO
CAMARGO, CRISTO REI, CURITIBA","R. JOÃO PONTONI, 5 - CRISTO REI,
CURITIBA - PR, 80050-490, BRASIL","R. GOV. AGAMENON MAGALHÃES, 16 -
CRISTO REI, CURITIBA - PR,
82590-100, BRASIL",2020
"29/01/202
0",13:53,303,9,LE705,ATROPELAMENTO,PEDESTRE,1,0,"RUA VISCONDE DE NÁCAR, CENTRO,
CURITIBA","RUA EMILIANO PERNETA, 356 -
CENTRO, CURITIBA - PR,
80010-050, BRASIL","R. COMENDADOR ARAÚJO, 21 -
CENTRO, CURITIBA - PR,
80420-000, BRASIL",2020
"14/02/202
0",00:08,548,11,GA171,ATROPELAMENTO,PEDESTRE,1,0,"RUA TIJUCAS DO SUL, SÍTIO
CERCADO, CURITIBA","RUA LUPIONÓPOLIS, 1386 - SÍTIO
CERCADO, CURITIBA - PR,
81925-260, BRASIL","RUA LUIZ GURGEL DO AMARAL
VALENTE, 1550 - SÍTIO CERCADO,
CURITIBA - PR, 81900-080, BRASIL",2020
"18/02/202
0",14:02,602,11,GD350,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA WINSTON CHURCHILL, CAPÃO
RASO, CURITIBA","RUA LUIZ DEL GOBBO, 2 - CAPÃO
RASO, CURITIBA - PR, 81130-390,
BRASIL","RUA JOSÉ CLEMENTINO BETTEGA, 16
- CAPÃO RASO, CURITIBA - PR,
81130-020, BRASIL",2020
"13/03/202
0",07:08,603,7,HE711,ATROPELAMENTO,PEDESTRE,1,0,"AVENIDA REPÚBLICA ARGENTINA,
PORTÃO, CURITIBA","R. AUGUSTO DE MARI, 4081 -
GUAÍRA, CURITIBA - PR,
80630-010, BRASIL","R. MARANHÃO, 2290 - ÁGUA VERDE,
CURITIBA - PR, 80610-001, BRASIL",2020
"16/03/202
0",14:10,901,10,MC302,ATROPELAMENTO,PEDESTRE,1,0,"TRAVESSA NESTOR DE CASTRO,
CENTRO, CURITIBA","R. DO ROSÁRIO, 147 - CENTRO,
CURITIBA - PR, 80420-010, BRASIL","R. JOSÉ BONIFÁCIO, 88 - CENTRO,
CURITIBA - PR, 80020-130, BRASIL",2020
"01/04/202
0",10:27,542,11,GI049,ATROPELAMENTO,PEDESTRE,1,0,"RUA GABRIEL RIBEIRO, SÍTIO
CERCADO, CURITIBA","R. JUSSARA, 1890 - SÍTIO
CERCADO, CURITIBA - PR,
81925-410, BRASIL","R. PASTOR JOSÉ MARTINS DA SILVA,
65 - SÍTIO CERCADO, CURITIBA -
PR, 81925-599, BRASIL",2020
